lock_path,name,version,relationship,development,optional,declared_license,registry_source,missing_license_metadata,review_note
"node_modules/@emnapi/core","@emnapi/core","1.11.1","transitive","true","true","MIT","https://registry.npmjs.org/@emnapi/core/-/core-1.11.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@emnapi/runtime","@emnapi/runtime","1.11.1","transitive","true","true","MIT","https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.11.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@emnapi/wasi-threads","@emnapi/wasi-threads","1.2.2","transitive","true","true","MIT","https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@jridgewell/sourcemap-codec","@jridgewell/sourcemap-codec","1.5.5","transitive","true","false","MIT","https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@napi-rs/wasm-runtime","@napi-rs/wasm-runtime","1.1.6","transitive","true","true","MIT","https://registry.npmjs.org/@napi-rs/wasm-runtime/-/wasm-runtime-1.1.6.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex","@openai/codex","0.144.5","transitive","false","false","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-darwin-arm64","@openai/codex-darwin-arm64","0.144.5-darwin-arm64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-darwin-arm64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-darwin-x64","@openai/codex-darwin-x64","0.144.5-darwin-x64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-darwin-x64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-linux-arm64","@openai/codex-linux-arm64","0.144.5-linux-arm64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-linux-arm64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-linux-x64","@openai/codex-linux-x64","0.144.5-linux-x64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-linux-x64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-sdk","@openai/codex-sdk","0.144.5","direct runtime","false","false","Apache-2.0","https://registry.npmjs.org/@openai/codex-sdk/-/codex-sdk-0.144.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-win32-arm64","@openai/codex-win32-arm64","0.144.5-win32-arm64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-win32-arm64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@openai/codex-win32-x64","@openai/codex-win32-x64","0.144.5-win32-x64","transitive","false","true","Apache-2.0","https://registry.npmjs.org/@openai/codex/-/codex-0.144.5-win32-x64.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@oxc-project/types","@oxc-project/types","0.139.0","transitive","true","false","MIT","https://registry.npmjs.org/@oxc-project/types/-/types-0.139.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-android-arm64","@rolldown/binding-android-arm64","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-android-arm64/-/binding-android-arm64-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-darwin-arm64","@rolldown/binding-darwin-arm64","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-darwin-arm64/-/binding-darwin-arm64-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-darwin-x64","@rolldown/binding-darwin-x64","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-darwin-x64/-/binding-darwin-x64-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-freebsd-x64","@rolldown/binding-freebsd-x64","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-freebsd-x64/-/binding-freebsd-x64-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-arm-gnueabihf","@rolldown/binding-linux-arm-gnueabihf","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-arm-gnueabihf/-/binding-linux-arm-gnueabihf-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-arm64-gnu","@rolldown/binding-linux-arm64-gnu","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-arm64-gnu/-/binding-linux-arm64-gnu-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-arm64-musl","@rolldown/binding-linux-arm64-musl","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-arm64-musl/-/binding-linux-arm64-musl-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-ppc64-gnu","@rolldown/binding-linux-ppc64-gnu","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-ppc64-gnu/-/binding-linux-ppc64-gnu-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-s390x-gnu","@rolldown/binding-linux-s390x-gnu","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-s390x-gnu/-/binding-linux-s390x-gnu-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-x64-gnu","@rolldown/binding-linux-x64-gnu","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-x64-gnu/-/binding-linux-x64-gnu-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-linux-x64-musl","@rolldown/binding-linux-x64-musl","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-linux-x64-musl/-/binding-linux-x64-musl-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-openharmony-arm64","@rolldown/binding-openharmony-arm64","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-openharmony-arm64/-/binding-openharmony-arm64-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-wasm32-wasi","@rolldown/binding-wasm32-wasi","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-wasm32-wasi/-/binding-wasm32-wasi-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
